CUSTOMERID,COUNTRY,IS_UK,IS_GERMANY,IS_FRANCE,IS_EIRE,IS_SPAIN,TOTAL_ORDERS,TOTAL_ITEMS,TOTAL_SPENT,AVG_ITEMS_PER_ORDER,AVG_REVENUE_PER_ORDER,CLV_PER_DAY,RECENCY_DAYS,CUSTOMER_LIFETIME_DAYS,RETURN_RATIO,FIRST_PURCHASE_DATE,LAST_PURCHASE_DATE
14307.0,United Kingdom,true,false,false,false,false,6,2058,2995.72,11.433333,499.286666667,10.474545455,4990,285,0,2010-12-01,2011-09-12
17897.0,United Kingdom,true,false,false,false,false,4,223,541.1,1.93913,135.275,2.678712871,5074,201,0.008696,2010-12-01,2011-06-20
17951.0,United Kingdom,true,false,false,false,false,4,610,990.84,29.047619,247.71,2.957731343,4941,334,0.047619,2010-12-01,2011-10-31
12748.0,United Kingdom,true,false,false,false,false,224,24210,29072.1,5.215424,129.786160714,77.732887701,4902,373,0.00991,2010-12-01,2011-12-09
15012.0,United Kingdom,true,false,false,false,false,2,231,423.04,1.804688,211.52,1.31788162,4955,320,0,2010-12-01,2011-10-17
15485.0,United Kingdom,true,false,false,false,false,3,1306,2575,15.186047,858.333333333,7.485465116,4932,343,0,2010-12-01,2011-11-09
15350.0,United Kingdom,true,false,false,false,false,1,51,115.65,10.2,115.65,115.65,5275,0,0,2010-12-01,2010-12-01
15922.0,United Kingdom,true,false,false,false,false,2,136,363.6,11.333333,181.8,181.8,5274,1,0.083333,2010-12-01,2010-12-02
14594.0,United Kingdom,true,false,false,false,false,2,185,379.83,3.490566,189.915,1.034959128,4909,366,0,2010-12-01,2011-12-02
17841.0,United Kingdom,true,false,false,false,false,169,22865,40340.78,2.864211,238.702840237,108.152225201,4903,372,0.017036,2010-12-01,2011-12-08
17643.0,United Kingdom,true,false,false,false,false,1,71,101.55,8.875,101.55,101.55,5275,0,0,2010-12-01,2010-12-01
17873.0,United Kingdom,true,false,false,false,false,6,999,1764.36,21.717391,294.06,6.00122449,4982,293,0.043478,2010-12-01,2011-09-20
12921.0,United Kingdom,true,false,false,false,false,50,9454,16389.74,12.758435,327.7948,44.177196765,4905,370,0.02834,2010-12-01,2011-12-06
14496.0,United Kingdom,true,false,false,false,false,2,159,538.81,8.368421,269.405,8.552539683,5213,62,0,2010-12-01,2011-02-01
14696.0,United Kingdom,true,false,false,false,false,9,1626,2070.97,12.225564,230.107777778,5.597216216,4906,369,0.022556,2010-12-01,2011-12-05
16539.0,United Kingdom,true,false,false,false,false,4,477,1388.81,10.6,347.2025,3.733360215,4904,371,0,2010-12-01,2011-12-07
17025.0,United Kingdom,true,false,false,false,false,3,235,357.77,26.111111,119.256666667,1.139394904,4962,313,0,2010-12-01,2011-10-10
13777.0,United Kingdom,true,false,false,false,false,41,12804,25748.35,58.465753,628.008536585,68.845855615,4902,373,0.100457,2010-12-01,2011-12-09
16955.0,United Kingdom,true,false,false,false,false,5,246,493.67,9.461538,98.734,2.598263158,5086,189,0.038462,2010-12-01,2011-06-08
15165.0,United Kingdom,true,false,false,false,false,1,160,487.75,5.925926,487.75,487.75,5275,0,0,2010-12-01,2010-12-01
14606.0,United Kingdom,true,false,false,false,false,128,5978,11713.85,2.148814,91.514453125,31.404423592,4903,372,0.029475,2010-12-01,2011-12-08
16835.0,United Kingdom,true,false,false,false,false,2,61,180.85,6.1,90.425,0.7351626016,5030,245,0,2010-12-01,2011-08-03
17732.0,United Kingdom,true,false,false,false,false,1,93,303.97,5.166667,303.97,303.97,5274,0,0,2010-12-02,2010-12-02
12855.0,United Kingdom,true,false,false,false,false,1,30,38.1,10,38.1,38.1,5274,0,0,2010-12-02,2010-12-02
13117.0,United Kingdom,true,false,false,false,false,8,945,984.91,12.434211,123.11375,2.798039773,4923,351,0,2010-12-02,2011-11-18
13138.0,United Kingdom,true,false,false,false,false,6,473,962.39,7.507937,160.398333333,2.741851852,4924,350,0,2010-12-02,2011-11-17
16995.0,United Kingdom,true,false,false,false,false,1,-1,-1.25,-1,-1.25,-1.25,5274,0,1,2010-12-02,2010-12-02
15923.0,United Kingdom,true,false,false,false,false,1,122,127.08,5.809524,127.08,127.08,5274,0,0,2010-12-02,2010-12-02
15574.0,United Kingdom,true,false,false,false,false,4,349,702.25,2.077381,175.5625,3.582908163,5079,195,0,2010-12-02,2011-06-15
17838.0,United Kingdom,true,false,false,false,false,6,1421,2312.7,10.372263,385.45,6.664841499,4928,346,0.116788,2010-12-02,2011-11-13
15834.0,United Kingdom,true,false,false,false,false,6,961,2084.9,3.481884,347.483333333,6.880858086,4972,302,0.01087,2010-12-02,2011-09-30
15426.0,United Kingdom,true,false,false,false,false,7,663,1429.9,2.21,204.271428571,4.073789174,4921,350,0.026667,2010-12-05,2011-11-20
14708.0,United Kingdom,true,false,false,false,false,4,615,1096.67,21.206897,274.1675,2.988201635,4904,366,0.034483,2010-12-06,2011-12-07
13173.0,United Kingdom,true,false,false,false,false,2,277,353.65,6.44186,176.825,0.9715659341,4906,363,0,2010-12-07,2011-12-05
18074.0,United Kingdom,true,false,false,false,false,1,190,489.6,14.615385,489.6,489.6,5275,0,0,2010-12-01,2010-12-01
17920.0,United Kingdom,true,false,false,false,false,17,2516,4204.1,3.614943,247.3,11.362432432,4906,369,0,2010-12-01,2011-12-05
16583.0,United Kingdom,true,false,false,false,false,1,111,233.45,7.928571,233.45,233.45,5275,0,0,2010-12-01,2010-12-01
13694.0,United Kingdom,true,false,false,false,false,60,61803,62653.1,105.646154,1044.218333333,168.876280323,4905,370,0.02906,2010-12-01,2011-12-06
15983.0,United Kingdom,true,false,false,false,false,4,892,1475.02,7.893805,368.755,4.190397727,4924,351,0,2010-12-01,2011-11-17
14849.0,United Kingdom,true,false,false,false,false,28,5656,7904.28,14.428571,282.295714286,22.391728045,4923,352,0.010204,2010-12-01,2011-11-18
12791.0,Netherlands,false,false,false,false,false,1,97,192.6,48.5,192.6,192.6,5275,0,0,2010-12-01,2010-12-01
17968.0,United Kingdom,true,false,false,false,false,1,160,277.35,1.882353,277.35,277.35,5275,0,0,2010-12-01,2010-12-01
16210.0,United Kingdom,true,false,false,false,false,18,7559,21086.3,61.455285,1171.461111111,56.531635389,4903,372,0,2010-12-01,2011-12-08
17377.0,United Kingdom,true,false,false,false,false,21,2075,3925.92,4.952267,186.948571429,11.184957265,4925,350,0.002387,2010-12-01,2011-11-16
12868.0,United Kingdom,true,false,false,false,false,6,928,1607.06,8.672897,267.843333333,8.502962963,5087,188,0,2010-12-01,2011-06-07
14001.0,United Kingdom,true,false,false,false,false,4,959,2030.33,23.975,507.5825,6.171215805,4947,328,0.025,2010-12-01,2011-10-25
12662.0,Germany,false,true,false,false,false,12,2040,3817.08,8.793103,318.09,10.206096257,4902,373,0.008621,2010-12-01,2011-12-09
14237.0,United Kingdom,true,false,false,false,false,1,38,161,4.222222,161,161,5275,0,0,2010-12-01,2010-12-01
12433.0,Norway,false,false,false,false,false,7,11071,13375.87,26.359524,1910.838571429,35.764358289,4902,373,0,2010-12-01,2011-12-09
17346.0,United Kingdom,true,false,false,false,false,16,1639,2611.58,3.258449,163.22375,7.039299191,4905,370,0.005964,2010-12-01,2011-12-06
13468.0,United Kingdom,true,false,false,false,false,41,2581,5656.75,8.434641,137.969512195,15.165549598,4903,372,0.013072,2010-12-01,2011-12-08
17760.0,United Kingdom,true,false,false,false,false,2,239,287.59,9.56,143.795,0.8147025496,4923,352,0,2010-12-01,2011-11-18
16928.0,United Kingdom,true,false,false,false,false,19,2094,2781.5,9.830986,146.394736842,9.460884354,4982,293,0.018779,2010-12-01,2011-09-20
16048.0,United Kingdom,true,false,false,false,false,3,143,243.69,15.888889,81.23,0.8432179931,4987,288,0.111111,2010-12-01,2011-09-15
16274.0,United Kingdom,true,false,false,false,false,1,155,357.95,2.313433,357.95,357.95,5275,0,0,2010-12-01,2010-12-01
17572.0,United Kingdom,true,false,false,false,false,4,95,226.75,7.916667,56.6875,0.748349835,4973,302,0,2010-12-01,2011-09-29
14078.0,United Kingdom,true,false,false,false,false,6,310,1049.37,4.769231,174.895,3.843846154,5003,272,0,2010-12-01,2011-08-30
18144.0,United Kingdom,true,false,false,false,false,12,1343,2888.75,31.232558,240.729166667,7.871253406,4909,366,0,2010-12-01,2011-12-02
14911.0,EIRE,false,false,false,true,false,248,77180,132572.62,13.074708,534.567016129,355.422573727,4903,372,0.038286,2010-12-01,2011-12-08
12472.0,Germany,false,true,false,false,false,13,4020,6229.48,10.28133,479.190769231,18.108953488,4932,343,0.132992,2010-12-01,2011-11-09
13093.0,United Kingdom,true,false,false,false,false,13,3943,7741.47,23.194118,595.497692308,72.350186916,5169,106,0.064706,2010-12-01,2011-03-17
12947.0,United Kingdom,true,false,false,false,false,11,1157,1407.29,11.23301,127.935454545,6.092164502,5045,230,0.058252,2010-12-01,2011-07-19
17460.0,United Kingdom,true,false,false,false,false,8,176,452.63,4.756757,56.57875,1.529155405,4980,295,0.216216,2010-12-01,2011-09-22
15235.0,United Kingdom,true,false,false,false,false,12,1324,2247.51,9.258741,187.2925,14.315350318,5119,156,0,2010-12-01,2011-05-06
13576.0,United Kingdom,true,false,false,false,false,20,2640,6703.3,20.307692,335.165,18.415659341,4912,363,0.030769,2010-12-01,2011-11-29
18011.0,United Kingdom,true,false,false,false,false,1,71,102.79,2.535714,102.79,102.79,5275,0,0,2010-12-01,2010-12-01
13090.0,United Kingdom,true,false,false,false,false,18,2194,8689.39,13.627329,482.743888889,23.806547945,4910,364,0.037267,2010-12-02,2011-12-01
14741.0,United Kingdom,true,false,false,false,false,6,841,1400.34,14.254237,233.39,3.868342541,4913,361,0,2010-12-02,2011-11-28
14092.0,United Kingdom,true,false,false,false,false,17,2061,4063.1,9.497696,239.005882353,11.10136612,4909,365,0.013825,2010-12-02,2011-12-02
15752.0,United Kingdom,true,false,false,false,false,8,1973,2628.93,4.788835,328.61625,7.871047904,4941,333,0.002427,2010-12-02,2011-10-31
14047.0,United Kingdom,true,false,false,false,false,7,377,1290.01,11.088235,184.287142857,3.534273973,4910,364,0.058824,2010-12-02,2011-12-01
14135.0,United Kingdom,true,false,false,false,false,15,3850,4690.31,28.731343,312.687333333,12.608360215,4903,371,0,2010-12-02,2011-12-08
15601.0,United Kingdom,true,false,false,false,false,17,4978,6745.36,12.024155,396.785882353,18.63359116,4913,361,0.009662,2010-12-02,2011-11-28
13418.0,United Kingdom,true,false,false,false,false,23,3839,5845.44,12.226115,254.149565217,16.147624309,4913,361,0.031847,2010-12-02,2011-11-28
14766.0,United Kingdom,true,false,false,false,false,8,1323,2423.07,9.656934,302.88375,6.638547945,4910,364,0.014599,2010-12-02,2011-12-01
14901.0,United Kingdom,true,false,false,false,false,10,659,1414.99,6.72449,141.499,3.908812155,4913,361,0.020408,2010-12-02,2011-11-28
15955.0,United Kingdom,true,false,false,false,false,16,2124,4389.81,11.481081,274.363125,12.578252149,4926,348,0.010811,2010-12-02,2011-11-15
15070.0,United Kingdom,true,false,false,false,false,1,36,106.2,36,106.2,106.2,5274,0,0,2010-12-02,2010-12-02
14390.0,United Kingdom,true,false,false,false,false,13,2125,4592.47,7.302405,353.266923077,12.651432507,4912,362,0.017182,2010-12-02,2011-11-29
16546.0,United Kingdom,true,false,false,false,false,3,-303,-95.93,-9.774194,-31.976666667,-1.155783133,5192,82,0.193548,2010-12-02,2011-02-22
15260.0,United Kingdom,true,false,false,false,false,8,861,1780.77,11.038462,222.59625,6.522967033,5002,272,0.012821,2010-12-02,2011-08-31
14491.0,United Kingdom,true,false,false,false,false,2,139,340.93,8.176471,170.465,1.721868687,5077,197,0,2010-12-02,2011-06-17
14060.0,United Kingdom,true,false,false,false,false,20,5374,6135.38,26.472906,306.769,16.62704607,4906,368,0.004926,2010-12-02,2011-12-05
16752.0,United Kingdom,true,false,false,false,false,1,54,207.5,6,207.5,207.5,5274,0,0,2010-12-02,2010-12-02
17287.0,United Kingdom,true,false,false,false,false,7,559,1064.11,4.508065,152.015714286,3.066599424,4928,346,0,2010-12-02,2011-11-13
16042.0,United Kingdom,true,false,false,false,false,7,745,1147.37,9.933333,163.91,3.268860399,4924,350,0.053333,2010-12-02,2011-11-17
16916.0,United Kingdom,true,false,false,false,false,2,440,576.26,3.076923,288.13,1.646457143,4925,349,0,2010-12-02,2011-11-16
17964.0,United Kingdom,true,false,false,false,false,2,301,471.7,2.894231,235.85,1.379239766,4933,341,0,2010-12-02,2011-11-08
14466.0,United Kingdom,true,false,false,false,false,7,1006,2272.4,13.972222,324.628571429,6.605813953,4931,343,0,2010-12-02,2011-11-10
16510.0,United Kingdom,true,false,false,false,false,1,92,248.1,7.076923,248.1,248.1,5274,0,0,2010-12-02,2010-12-02
15107.0,United Kingdom,true,false,false,false,false,8,162,247.66,8.1,30.9575,3.994516129,5213,61,0.15,2010-12-02,2011-02-01
17976.0,United Kingdom,true,false,false,false,false,1,106,353.19,1.630769,353.19,353.19,5274,0,0,2010-12-02,2010-12-02
14449.0,United Kingdom,true,false,false,false,false,4,757,907.1,2.934109,226.775,2.555211268,4920,354,0,2010-12-02,2011-11-21
15838.0,United Kingdom,true,false,false,false,false,21,9007,33350.76,53.295858,1588.131428571,92.129171271,4913,361,0.011834,2010-12-02,2011-11-28
15732.0,United Kingdom,true,false,false,false,false,2,215,294.12,15.357143,147.06,1.826832298,5114,160,0,2010-12-02,2011-05-11
17567.0,United Kingdom,true,false,false,false,false,10,2428,4012.56,13.717514,401.256,10.963278689,4909,365,0.067797,2010-12-02,2011-12-02
15061.0,United Kingdom,true,false,false,false,false,55,28590,54228.74,69.731707,985.977090909,146.564162162,4905,369,0.017073,2010-12-02,2011-12-06
16203.0,United Kingdom,true,false,false,false,false,5,261,589.15,7.25,117.83,1.87031746,4960,314,0.027778,2010-12-02,2011-10-12
17228.0,United Kingdom,true,false,false,false,false,8,1532,1906.09,7.365385,238.26125,5.324273743,4917,357,0,2010-12-02,2011-11-24
17659.0,United Kingdom,true,false,false,false,false,14,1486,2954.75,9.229814,211.053571429,7.985810811,4905,369,0.018634,2010-12-02,2011-12-06
13958.0,United Kingdom,true,false,false,false,false,1,-23,-102.45,-4.6,-102.45,-102.45,5274,0,1,2010-12-02,2010-12-02
18168.0,United Kingdom,true,false,false,false,false,9,585,1133.64,4.178571,125.96,5.754517766,5078,196,0.064286,2010-12-02,2011-06-16
13011.0,United Kingdom,true,false,false,false,false,1,13,50.55,4.333333,50.55,50.55,5274,0,0,2010-12-02,2010-12-02
15694.0,United Kingdom,true,false,false,false,false,15,1665,6423.6,21.075949,428.24,17.221447721,4902,372,0.012658,2010-12-02,2011-12-09
14775.0,United Kingdom,true,false,false,false,false,3,1174,1011.9,19.566667,337.3,3.212380952,4960,314,0,2010-12-02,2011-10-12
15646.0,United Kingdom,true,false,false,false,false,4,388,425.14,10.777778,106.285,1.968240741,5059,215,0.027778,2010-12-02,2011-07-05
15384.0,United Kingdom,true,false,false,false,false,3,593,635.76,13.790698,211.92,3.116470588,5071,203,0.046512,2010-12-02,2011-06-23
13295.0,United Kingdom,true,false,false,false,false,2,81,197.95,7.363636,98.975,14.139285714,5261,13,0.090909,2010-12-02,2010-12-15
15738.0,United Kingdom,true,false,false,false,false,19,2967,4788.77,16.857955,252.040526316,13.489492958,4920,354,0.017045,2010-12-02,2011-11-21
15093.0,United Kingdom,true,false,false,false,false,9,3733,4410.14,33.330357,490.015555556,12.422929577,4920,354,0.035714,2010-12-02,2011-11-21
12738.0,Germany,false,true,false,false,false,1,148,155.35,13.454545,155.35,155.35,5274,0,0,2010-12-02,2010-12-02
17961.0,United Kingdom,true,false,false,false,false,39,560,1296.44,2.248996,33.242051282,3.683068182,4923,351,0,2010-12-02,2011-11-18
14573.0,United Kingdom,true,false,false,false,false,13,538,1603.72,2.232365,123.363076923,8.266597938,5081,193,0.024896,2010-12-02,2011-06-13
17135.0,United Kingdom,true,false,false,false,false,7,1224,1139.73,23.538462,162.818571429,3.201488764,4918,355,0,2010-12-03,2011-11-23
17396.0,United Kingdom,true,false,false,false,false,8,2005,7330.8,74.259259,916.35,22.014414414,4941,332,0,2010-12-03,2011-10-31
14213.0,United Kingdom,true,false,false,false,false,1,-244,-1192.2,-48.8,-1192.2,-1192.2,5273,0,1,2010-12-03,2010-12-03
12967.0,United Kingdom,true,false,false,false,false,4,243,1194.75,7.363636,298.6875,3.237804878,4905,368,0.424242,2010-12-03,2011-12-06
12427.0,Germany,false,true,false,false,false,5,236,708.37,6.742857,141.674,1.962243767,4913,360,0.114286,2010-12-03,2011-11-28
17967.0,United Kingdom,true,false,false,false,false,1,80,123.07,1.666667,123.07,123.07,5273,0,0,2010-12-03,2010-12-03
14083.0,United Kingdom,true,false,false,false,false,9,732,1018.43,4.044199,113.158888889,2.767472826,4906,367,0,2010-12-03,2011-12-05
12712.0,Germany,false,true,false,false,false,17,1044,4241.63,7.352113,249.507647059,12.118942857,4924,349,0.06338,2010-12-03,2011-11-17
16725.0,United Kingdom,true,false,false,false,false,8,293,775.07,1.927632,96.88375,11.072428571,5204,69,0.006579,2010-12-03,2011-02-10
15545.0,United Kingdom,true,false,false,false,false,2,163,292.72,2.012346,146.36,0.9205031447,4956,317,0,2010-12-03,2011-10-16
13089.0,United Kingdom,true,false,false,false,false,118,30787,57385.88,16.578891,486.321016949,155.939891304,4904,367,0.021002,2010-12-05,2011-12-07
14800.0,United Kingdom,true,false,false,false,false,16,3634,4236.34,9.270408,264.77125,13.115603715,4949,322,0.017857,2010-12-05,2011-10-23
16168.0,United Kingdom,true,false,false,false,false,28,1888,3770.6,19.070707,134.664285714,10.473888889,4912,359,0.010101,2010-12-05,2011-11-29
18118.0,United Kingdom,true,false,false,false,false,31,2877,5595.77,2.240654,180.508709677,15.543805556,4912,359,0.003894,2010-12-05,2011-11-29
13506.0,United Kingdom,true,false,false,false,false,3,321,452.82,11.068966,150.94,7.807241379,5214,57,0.103448,2010-12-05,2011-01-31
17059.0,United Kingdom,true,false,false,false,false,5,1855,3095.04,3.594961,619.008,9.076363636,4931,340,0,2010-12-05,2011-11-10
16327.0,United Kingdom,true,false,false,false,false,6,2571,3844.22,8.059561,640.703333333,10.798370787,4916,355,0,2010-12-05,2011-11-25
17026.0,United Kingdom,true,false,false,false,false,2,97,154.83,24.25,77.415,0.8369189189,5087,184,0,2010-12-05,2011-06-07
17858.0,United Kingdom,true,false,false,false,false,12,2706,5155.66,13.59799,429.638333333,14.12509589,4907,364,0,2010-12-05,2011-12-04
17863.0,United Kingdom,true,false,false,false,false,6,2638,3160,17.824324,526.666666667,10.160771704,4961,310,0,2010-12-05,2011-10-11
16411.0,United Kingdom,true,false,false,false,false,2,132,214.65,2.933333,107.325,0.6115384615,4921,350,0,2010-12-05,2011-11-20
14506.0,United Kingdom,true,false,false,false,false,5,730,2012.17,2.310127,402.434,5.7001983,4919,352,0,2010-12-05,2011-11-22
15555.0,United Kingdom,true,false,false,false,false,20,4410,4758.2,4.767568,237.91,13.291061453,4914,357,0.028108,2010-12-05,2011-11-27
13034.0,United Kingdom,true,false,false,false,false,2,369,642.77,9.972973,321.385,2.034082278,4956,315,0,2010-12-05,2011-10-16
16422.0,United Kingdom,true,false,false,false,false,75,32592,33805.69,81.684211,450.742533333,95.766827195,4919,352,0.075188,2010-12-05,2011-11-22
14404.0,United Kingdom,true,false,false,false,false,7,831,1434.72,7.990385,204.96,4.257329377,4935,336,0.009615,2010-12-05,2011-11-06
15987.0,United Kingdom,true,false,false,false,false,7,1556,1451.28,11.114286,207.325714286,4.065210084,4914,356,0,2010-12-06,2011-11-27
16241.0,United Kingdom,true,false,false,false,false,13,1453,2607.87,2.194864,200.605384615,7.22401662,4911,360,0,2010-12-05,2011-11-30
18219.0,United Kingdom,true,false,false,false,false,11,883,2019.77,7.678261,183.615454545,5.50346049,4904,366,0.008696,2010-12-06,2011-12-07
12808.0,Portugal,false,false,false,false,false,3,188,483.65,6.714286,161.216666667,1.452402402,4938,332,0,2010-12-06,2011-11-03
17227.0,United Kingdom,true,false,false,false,false,6,741,939.32,15.765957,156.553333333,2.676125356,4920,350,0,2010-12-06,2011-11-21
15919.0,United Kingdom,true,false,false,false,false,2,545,639.89,3.811189,319.945,1.828257143,4921,349,0,2010-12-06,2011-11-20
17596.0,United Kingdom,true,false,false,false,false,7,4400,2827.93,16.296296,403.99,8.173208092,4925,345,0,2010-12-06,2011-11-16
14085.0,United Kingdom,true,false,false,false,false,19,3183,4435.79,7.05765,233.462631579,12.086621253,4904,366,0.002217,2010-12-06,2011-12-07
16658.0,United Kingdom,true,false,false,false,false,1,40,123.24,5,123.24,123.24,5270,0,0,2010-12-06,2010-12-06
15081.0,United Kingdom,true,false,false,false,false,6,188,487.35,5.371429,81.225,1.408526012,4924,345,0.057143,2010-12-07,2011-11-17
14821.0,United Kingdom,true,false,false,false,false,1,20,48.8,10,48.8,48.8,5268,0,0,2010-12-08,2010-12-08
14952.0,United Kingdom,true,false,false,false,false,15,3295,7912.79,22.114094,527.519333333,24.650436137,4948,320,0.073826,2010-12-08,2011-10-24
15298.0,United Kingdom,true,false,false,false,false,14,2752,3774.1,14.185567,269.578571429,10.34,4904,364,0.010309,2010-12-08,2011-12-07
15680.0,United Kingdom,true,false,false,false,false,3,952,1333.68,12.205128,444.56,3.725363128,4911,357,0,2010-12-08,2011-11-30
14030.0,United Kingdom,true,false,false,false,false,8,1479,2360.09,6.08642,295.01125,6.76243553,4920,348,0,2010-12-08,2011-11-21
15358.0,United Kingdom,true,false,false,false,false,29,6927,8234.8,12.347594,283.95862069,22.748066298,4906,361,0.017825,2010-12-09,2011-12-05
16098.0,United Kingdom,true,false,false,false,false,7,613,2005.63,9.149254,286.518571429,6.98825784,4989,286,0,2010-12-01,2011-09-13
13448.0,United Kingdom,true,false,false,false,false,10,1638,3465.67,8.231156,346.567,9.680642458,4918,357,0.020101,2010-12-01,2011-11-23
16552.0,United Kingdom,true,false,false,false,false,2,219,379.73,12.882353,189.865,2.876742424,5144,131,0,2010-12-01,2011-04-11
17181.0,United Kingdom,true,false,false,false,false,2,241,239.92,10.478261,119.96,0.7568454259,4959,316,0,2010-12-01,2011-10-13
15605.0,United Kingdom,true,false,false,false,false,5,441,1198.23,6.58209,239.646,3.545059172,4938,337,0,2010-12-01,2011-11-03
17690.0,United Kingdom,true,false,false,false,false,16,1767,4748.45,6.848837,296.778125,13.803633721,4932,343,0.007752,2010-12-01,2011-11-09
14729.0,United Kingdom,true,false,false,false,false,1,197,313.49,2.774648,313.49,313.49,5275,0,0,2010-12-01,2010-12-01
15525.0,United Kingdom,true,false,false,false,false,4,414,811.02,2.3,202.755,2.18016129,4904,371,0.011111,2010-12-01,2011-12-07
16456.0,United Kingdom,true,false,false,false,false,5,1148,2158.37,10.342342,431.674,7.848618182,5001,274,0,2010-12-01,2011-09-01
18229.0,United Kingdom,true,false,false,false,false,20,2488,7276.9,15.170732,363.845,20.046556474,4913,362,0,2010-12-01,2011-11-28
14142.0,United Kingdom,true,false,false,false,false,1,313,311.81,14.227273,311.81,311.81,5275,0,0,2010-12-01,2010-12-01
